Name,Year,Yearly Salary,ATT,RUSH YDS,AVG RUSH YDS,LG RUSH,RUSH 20 CNT,RUSH TD,REC,TGT,REC YDS,AVG REC YDS,REC TD,TTL SNAP CNT,Injured
Samaje Perine,2022,1850000,95,394,4.1,29,1,2,38,51,287,7.6,4,448,0
Boston Scott,2022,1750000,54,217,4,21,1,3,5,6,15,3,0,170,1
Miles Sanders,2022,1705528,259,1269,4.9,40,12,11,20,26,78,3.9,0,673,0
Cam Akers,2022,1683557,188,786,4.2,42,6,7,13,18,117,9,0,428,0
Breece Hall,2022,1639049,80,463,5.8,62,7,4,19,31,218,11.5,1,233,0
J.K. Dobbins,2022,1562574,92,520,5.7,44,7,2,7,8,42,6,1,202,1
Kenneth Walker III,2022,1534833,228,1050,4.6,74,21,9,27,35,165,6.1,0,575,1
Ronald Jones II,2022,1500000,17,70,4.1,13,0,1,1,1,22,22,0,35,0
Dare Ogunbowale,2022,1450000,42,123,2.9,11,0,1,20,26,104,5.2,0,183,1
Antonio Gibson,2022,1345265,149,546,3.7,20,1,3,46,58,353,7.7,2,489,1
Ke'Shawn Vaughn,2022,1297091,17,53,3.1,12,0,0,3,4,19,6.3,0,37,0
D'Ernest Johnson,2022,1216500,4,17,4.3,7,0,0,3,3,7,2.3,0,35,0
Damien Harris,2022,1186534,106,462,4.4,30,3,3,17,23,97,5.7,0,238,1
Alexander Mattison,2022,1170545,74,283,3.8,15,0,5,15,18,91,6.1,1,297,1
Tony Pollard,2022,1132582,193,1007,5.2,57,18,9,39,55,371,9.5,3,569,1
Chase Edmonds,2022,1111111,68,245,3.6,28,3,2,16,24,157,9.8,1,297,0
Joshua Kelley,2022,1090086,69,287,4.2,22,1,2,14,25,101,7.2,0,268,1
Justice Hill,2022,1080414,49,262,5.3,34,2,0,12,12,58,4.8,0,264,1
James Cook,2022,1060375,91,525,5.8,33,7,2,21,32,180,8.6,1,269,0
Ameer Abdullah,2022,1047500,4,20,5,7,0,0,25,32,211,8.4,1,166,0
Darrel Williams,2022,1047500,21,102,4.9,30,2,1,4,8,9,2.3,0,99,1
Giovani Bernard,2022,1047500,8,28,3.5,8,0,0,2,2,-1,-0.5,0,25,0
Jerick McKinnon,2022,1047500,72,291,4,30,3,1,56,71,512,9.1,9,535,0
Matt Breida,2022,1047500,54,220,4.1,18,0,1,20,25,118,5.9,0,264,0
Kenyan Drake,2022,1035000,109,482,4.4,40,9,4,17,26,89,5.2,1,366,0
Michael Carter,2022,1026840,114,402,3.5,25,3,3,41,54,288,7,0,496,1
DeeJay Dallas,2022,1018600,35,186,5.3,27,1,0,17,19,126,7.4,0,196,1
Kene Nwangwu,2022,1013199,9,14,1.6,8,0,0,2,2,21,10.5,0,18,1
Rhamondre Stevenson,2022,1012265,210,1040,5,49,12,5,69,88,421,6.1,1,699,1
Chuba Hubbard,2022,1003293,95,466,4.9,35,6,2,14,17,171,12.2,0,264,1
Travis Homer,2022,1000840,19,74,3.9,16,0,0,16,18,157,9.8,1,165,1
Dwayne Washington,2022,995000,11,38,3.5,8,0,0,1,1,7,7,0,26,1
Trayveon Williams,2022,965000,6,30,5,16,0,0,2,3,30,15,0,36,0
Ty Johnson,2022,965000,30,160,5.3,32,3,1,12,24,88,7.3,0,172,0
Dontrell Hilliard,2022,955278,22,145,6.6,30,3,0,21,26,177,8.4,4,200,1
